offline_datapoint_11 1619213678 2817,000
offline_datapoint_5 1619213676 0,666
offline_datapoint_24 1619213676 3544,670
offline_datapoint_7 1619213678 390692864,000
offline_datapoint_17 1619213676 0,666
offline_datapoint_6 1619213678 5786681344,000
offline_datapoint_23 1619213678 7399313408,000
offline_datapoint_22 1619213676 0,260
offline_datapoint_28 1619213676 14,475
offline_datapoint_10 1619213676 6,379
offline_datapoint_29 1619213676 5006,592
offline_datapoint_4 1619213678 0,000
offline_datapoint_16 1619213676 8064,399
offline_datapoint_2 1619213676 1160,674
offline_datapoint_14 1619213676 0,774
offline_datapoint_3 1619213676 11,663
offline_datapoint_26 1619213676 97,552
offline_datapoint_15 1619213676 2,999
offline_datapoint_8 1619213676 17320,229
offline_datapoint_20 1619213676 0,008
offline_datapoint_27 1619213681 682278,000
offline_datapoint_21 1619213681 3267,000
offline_datapoint_12 1619213681 585084928,000
offline_datapoint_0 1619213681 360054784,000
offline_datapoint_19 1619213681 8326180864,000
offline_datapoint_25 1619213681 390574080,000
offline_datapoint_11 1619213681 2813,000
offline_datapoint_5 1619213679 0,000
offline_datapoint_24 1619213679 564,567
offline_datapoint_7 1619213681 390574080,000
offline_datapoint_17 1619213679 0,000
offline_datapoint_6 1619213681 5789757440,000
offline_datapoint_23 1619213681 7402139648,000
offline_datapoint_22 1619213679 0,130
offline_datapoint_28 1619213679 10,176
offline_datapoint_10 1619213679 3,775
offline_datapoint_29 1619213679 4442,547
offline_datapoint_4 1619213681 0,000
offline_datapoint_16 1619213679 7271,046
offline_datapoint_2 1619213679 432,923
offline_datapoint_14 1619213679 0,036
offline_datapoint_3 1619213679 0,667
offline_datapoint_26 1619213679 99,961
offline_datapoint_15 1619213679 0,000
offline_datapoint_8 1619213679 6144,000
offline_datapoint_20 1619213679 0,000
offline_datapoint_27 1619213684 682278,000
offline_datapoint_21 1619213684 3260,000
offline_datapoint_12 1619213684 585084928,000
offline_datapoint_0 1619213684 360054784,000
offline_datapoint_19 1619213684 8325857280,000
offline_datapoint_25 1619213684 390889472,000
offline_datapoint_11 1619213684 2811,000
offline_datapoint_5 1619213682 0,000
offline_datapoint_24 1619213682 272,395
offline_datapoint_7 1619213684 390889472,000
offline_datapoint_17 1619213682 0,000
offline_datapoint_6 1619213684 5789020160,000
offline_datapoint_23 1619213684 7401676800,000
offline_datapoint_22 1619213682 0,130
offline_datapoint_28 1619213682 8,441
offline_datapoint_10 1619213682 3,256
offline_datapoint_29 1619213682 4484,021
offline_datapoint_4 1619213684 0,000
offline_datapoint_16 1619213682 7329,669
offline_datapoint_2 1619213682 546,791
offline_datapoint_14 1619213682 0,097
offline_datapoint_3 1619213682 2,334
offline_datapoint_26 1619213682 99,905
offline_datapoint_15 1619213682 0,000
offline_datapoint_8 1619213682 4096,000
offline_datapoint_20 1619213682 0,001
offline_datapoint_27 1619213687 682278,000
offline_datapoint_21 1619213687 3266,000
offline_datapoint_12 1619213687 585089024,000
offline_datapoint_0 1619213687 360054784,000
offline_datapoint_19 1619213687 8324718592,000
offline_datapoint_25 1619213687 390955008,000
offline_datapoint_11 1619213687 2807,000
offline_datapoint_5 1619213685 18,670
